Event	ID	Name			Wwise Object Path	Notes
	245635415	mx_mystery_stinger			\Default Work Unit\mx_mystery_stinger	
	747531632	sfx_typing			\Default Work Unit\sfx_typing	
	1527636025	mx_calculating_stinger			\Default Work Unit\mx_calculating_stinger	
	2309060650	mx_tension_stinger			\Default Work Unit\mx_tension_stinger	
	2713007029	mx_waiting_stinger			\Default Work Unit\mx_waiting_stinger	
	3124573721	sfx_paper			\Default Work Unit\sfx_paper	
	3134498127	mx_confession_stinger			\Default Work Unit\mx_confession_stinger	
	3955913550	mx_horror_stinger			\Default Work Unit\mx_horror_stinger	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	37671590	193952__soundslikewillem__e	Y:\GoogleDrive\_CloudSync\Work\Berklee\GIT\Unity-Wwise-Game-Template-Intercept\Wwise Intercept\.cache\Mac\SFX\193952__soundslikewillem__e_4F2DCF8F.wem		\Actor-Mixer Hierarchy\Default Work Unit\typing\193952__soundslikewillem__e		8124
	202748493	193945__soundslikewillem__d	Y:\GoogleDrive\_CloudSync\Work\Berklee\GIT\Unity-Wwise-Game-Template-Intercept\Wwise Intercept\.cache\Mac\SFX\193945__soundslikewillem__d_4F2DCF8F.wem		\Actor-Mixer Hierarchy\Default Work Unit\typing\193945__soundslikewillem__d		1122
	210647243	193956__soundslikewillem__x	Y:\GoogleDrive\_CloudSync\Work\Berklee\GIT\Unity-Wwise-Game-Template-Intercept\Wwise Intercept\.cache\Mac\SFX\193956__soundslikewillem__x_4F2DCF8F.wem		\Actor-Mixer Hierarchy\Default Work Unit\typing\193956__soundslikewillem__x		1093
	212712742	193958__soundslikewillem__v	Y:\GoogleDrive\_CloudSync\Work\Berklee\GIT\Unity-Wwise-Game-Template-Intercept\Wwise Intercept\.cache\Mac\SFX\193958__soundslikewillem__v_4F2DCF8F.wem		\Actor-Mixer Hierarchy\Default Work Unit\typing\193958__soundslikewillem__v		2076
	243698729	193949__soundslikewillem__h	Y:\GoogleDrive\_CloudSync\Work\Berklee\GIT\Unity-Wwise-Game-Template-Intercept\Wwise Intercept\.cache\Mac\SFX\193949__soundslikewillem__h_4F2DCF8F.wem		\Actor-Mixer Hierarchy\Default Work Unit\typing\193949__soundslikewillem__h		4965
	277825226	193951__soundslikewillem__f	Y:\GoogleDrive\_CloudSync\Work\Berklee\GIT\Unity-Wwise-Game-Template-Intercept\Wwise Intercept\.cache\Mac\SFX\193951__soundslikewillem__f_4F2DCF8F.wem		\Actor-Mixer Hierarchy\Default Work Unit\typing\193951__soundslikewillem__f		1772
	488112993	193947__soundslikewillem__b	Y:\GoogleDrive\_CloudSync\Work\Berklee\GIT\Unity-Wwise-Game-Template-Intercept\Wwise Intercept\.cache\Mac\SFX\193947__soundslikewillem__b_4F2DCF8F.wem		\Actor-Mixer Hierarchy\Default Work Unit\typing\193947__soundslikewillem__b		2013
	488189643	attachingPaper	Y:\GoogleDrive\_CloudSync\Work\Berklee\GIT\Unity-Wwise-Game-Template-Intercept\Wwise Intercept\.cache\Mac\SFX\attachingPaper_4F2DCF8F.wem		\Actor-Mixer Hierarchy\Default Work Unit\attachingPaper		33646
	729038700	193954__soundslikewillem__i	Y:\GoogleDrive\_CloudSync\Work\Berklee\GIT\Unity-Wwise-Game-Template-Intercept\Wwise Intercept\.cache\Mac\SFX\193954__soundslikewillem__i_4F2DCF8F.wem		\Actor-Mixer Hierarchy\Default Work Unit\typing\193954__soundslikewillem__i		1166
	754822622	193946__soundslikewillem__c	Y:\GoogleDrive\_CloudSync\Work\Berklee\GIT\Unity-Wwise-Game-Template-Intercept\Wwise Intercept\.cache\Mac\SFX\193946__soundslikewillem__c_4F2DCF8F.wem		\Actor-Mixer Hierarchy\Default Work Unit\typing\193946__soundslikewillem__c		1689
